ENTPID,ITEMID,ITEMLL,FRNID,FRNLL,RAYID,CIRCUITLL,MNFID,LOCID,SUM(NBPRISEPREP)
970,6261508,HANDYB 80%R LIEN ULTRARESIST 3,1689,MELITTA-FRANCE SAS,67,BLANP 15/12,16418,1751,1
970,5121475,COUETTE ANTHRAC 220  990,110629,ABEIL SAS,50,BLANP 15/12,16422,1644,1
970,5120055,SERV 0 TWIST BLANC   B00,15933,VILLAFELPOS-COMERCIO IND.TEXTIL SA,50,BLANP 15/12,16422,803,1
970,5120038,GANTS 0 TWIST BLANC  B00,15933,VILLAFELPOS-COMERCIO IND.TEXTIL SA,50,BLANP 15/12,16422,1146,1
970,5120055,SERV 0 TWIST BLANC   B00,15933,VILLAFELPOS-COMERCIO IND.TEXTIL SA,50,BLANP 15/12,16422,1788,1
970,5120055,SERV 0 TWIST BLANC   B00,15933,VILLAFELPOS-COMERCIO IND.TEXTIL SA,50,BLANP 15/12,16422,263,1
970,7629174,HC 140 UNI           691,103553,VISTEX LIMITED,50,BLANP 15/12,16544,879,1
970,7627102,MAXI DB UNI          590,15933,VILLAFELPOS-COMERCIO IND.TEXTIL SA,50,BLANP 15/12,16422,43,1
970,7627075,SERVIETTE UNI        590,15933,VILLAFELPOS-COMERCIO IND.TEXTIL SA,50,BLANP 15/12,16422,962,1
970,7627877,COUETTE CO MICRO140  691,110629,ABEIL SAS,50,BLANP 15/12,16422,1645,1
970,7627140,SERV LITEAU CHAIN    810,14622,BELFAMA EMPRESA TEXTIL LDA,50,BLANP 15/12,16422,799,1
970,7627087,DRAP DE BAIN UNI     590,15933,VILLAFELPOS-COMERCIO IND.TEXTIL SA,50,BLANP 15/12,16422,1828,1
970,7627081,DRAP DE BAIN UNI     700,15933,VILLAFELPOS-COMERCIO IND.TEXTIL SA,50,BLANP 15/12,16422,1355,1
970,7627962,COUETTE CO MICRO220  691,110629,ABEIL SAS,50,BLANP 15/12,16422,1353,1
970,7627102,MAXI DB UNI          590,15933,VILLAFELPOS-COMERCIO IND.TEXTIL SA,50,BLANP 15/12,16422,877,1
970,7627880,COUETTE CO MICRO140  991,110629,ABEIL SAS,50,BLANP 15/12,16422,213,1
970,7627140,SERV LITEAU CHAIN    810,14622,BELFAMA EMPRESA TEXTIL LDA,50,BLANP 15/12,16422,350,2
970,7627140,SERV LITEAU CHAIN    810,14622,BELFAMA EMPRESA TEXTIL LDA,50,BLANP 15/12,16422,1516,2
970,7629209,DH 90 UNI            691,103553,VISTEX LIMITED,50,BLANP 15/12,16544,190,1
970,7629226,DH 160 UNI           691,103553,VISTEX LIMITED,50,BLANP 15/12,16544,162,1
970,7627877,COUETTE CO MICRO140  691,110629,ABEIL SAS,50,BLANP 15/12,16422,694,1
970,7627114,LOT SERV ET DB       590,15933,VILLAFELPOS-COMERCIO IND.TEXTIL SA,50,BLANP 15/12,16422,847,2
970,7629160,TAIE RECT UNIE       691,103553,VISTEX LIMITED,50,BLANP 15/12,16544,229,1
970,7627047,2 GANTS UNIS         590,15933,VILLAFELPOS-COMERCIO IND.TEXTIL SA,50,BLANP 15/12,16422,169,1
970,7627137,DDB LITEAU HILO      810,15933,VILLAFELPOS-COMERCIO IND.TEXTIL SA,50,BLANP 15/12,16422,35,1
970,7627137,DDB LITEAU HILO      810,15933,VILLAFELPOS-COMERCIO IND.TEXTIL SA,50,BLANP 15/12,16422,818,1
970,7627241,LOT240 PALMI PRUSSIE 551,12449,MPX IMPORT,50,BLANP 15/12,16422,246,1
970,7627794,PLAID DOUDOU CORAL   701,12449,MPX IMPORT,50,BLANP 15/12,16422,189,1
970,7629226,DH 160 UNI           691,103553,VISTEX LIMITED,50,BLANP 15/12,16544,413,1
970,7629178,HC 240 UNI           551,103553,VISTEX LIMITED,50,BLANP 15/12,16544,1231,1
970,7627241,LOT240 PALMI PRUSSIE 551,12449,MPX IMPORT,50,BLANP 15/12,16422,1829,1
970,7627104,MAXI DB UNI          651,15933,VILLAFELPOS-COMERCIO IND.TEXTIL SA,50,BLANP 15/12,16422,236,1
970,7629178,HC 240 UNI           551,103553,VISTEX LIMITED,50,BLANP 15/12,16544,193,1
970,7629178,HC 240 UNI           551,103553,VISTEX LIMITED,50,BLANP 15/12,16544,37,2
970,7629178,HC 240 UNI           551,103553,VISTEX LIMITED,50,BLANP 15/12,16544,166,1
970,6261508,HANDYB 80%R LIEN ULTRARESIST 3,1689,MELITTA-FRANCE SAS,67,BLANP 15/12,16418,15,1
